,index,default_flag,number_of_stars,number_of_planets,planet_orbital_period,orbit_semimajor_axis,planet_radius,stellar_temperature,stellar_radius,stellar_mass,system_distance,habitable
490,1250.0,1.0,2.0,1.0,1121.79,2.067,9.140759999999995,5844.0,1.47,0.94,37.8063,0.0
491,1253.0,1.0,2.0,1.0,83.9151,0.36,6.940030000000003,5869.0,1.2,0.8,40.1949,0.0
492,1257.0,1.0,1.0,2.0,493.7,1.16,6.605599999999997,5135.0,1.0849000000000002,0.85,21.0628,0.0
493,1259.0,1.0,1.0,2.0,4319.0,5.311029999999997,7.446779999999997,5487.32,0.9484000000000004,0.85,21.0628,0.0
494,1261.0,1.0,1.0,2.0,1622.1,2.9,9.584719999999999,6030.0,1.34,1.24,51.261,0.0
495,1267.0,1.0,1.0,2.0,223.41,0.774,8.63868,6030.0,1.34,1.24,51.261,0.0
496,1269.0,1.0,1.0,1.0,3700.0,5.0,9.41458,5957.0,1.21,1.18,87.6437,0.0
497,1270.0,1.0,2.0,2.0,670.0,1.65,9.429759999999995,4819.0,4.89,0.83,123.245,0.0
498,1272.0,1.0,2.0,2.0,907.0,2.0282400000000003,10.642879999999996,6173.067999999999,1.7269999999999994,1.33,123.245,0.0
499,1278.0,1.0,1.0,1.0,2621.75,3.787,8.53355,5732.0,1.07,1.05,32.3547,0.0
500,1280.0,1.0,1.0,1.0,433.70001,1.09,10.412110000000002,4312.0,20.58,0.72,235.045,0.0
501,1283.0,1.0,1.0,1.0,25.8,0.18,6.830719999999996,5990.0,1.1465999999999992,1.08,37.7781,0.0
502,1285.0,1.0,1.0,1.0,6.1335,0.07,13.805089999999998,5864.0,2.06,1.84,92.2589,0.0
503,1289.0,1.0,2.0,2.0,1945.0,3.16,9.540539999999998,5303.0,2.01,0.91,33.5369,0.0
504,1292.0,1.0,2.0,2.0,37.91,0.229,7.1408200000000015,5303.0,2.01,0.91,33.5369,0.0
505,1294.0,1.0,1.0,1.0,711.0,1.93,13.357180000000003,4970.0,10.09,1.91,67.9331,0.0
506,1296.0,1.0,1.0,1.0,2082.0,4.3,12.90971,4892.0,9.12,2.39,103.044,0.0
507,1298.0,1.0,1.0,1.0,63.33,0.33,11.081999999999999,6027.0,1.07,1.62,41.6592,0.0
508,1299.0,1.0,1.0,1.0,270.66,0.86,8.814050000000002,5873.0,1.233599999999999,1.15,60.1977,0.0
509,1300.0,1.0,1.0,1.0,58.83,0.297,5.49597,5920.0,1.1238000000000004,1.01,48.3367,0.0
510,1301.0,1.0,1.0,1.0,1756.2,3.16,10.398349999999994,4850.0,6.47,1.36,153.647,0.0
511,1303.0,1.0,1.0,1.0,9.6737,0.08,3.82263,4691.0,0.74,0.29,28.1989,0.0
512,1304.0,1.0,2.0,3.0,557.04,1.372,7.98136,5841.0,1.05,1.11,57.6207,0.0
513,1309.0,1.0,2.0,3.0,4.15514,0.0524,3.634120000000001,5841.0,1.05,1.11,57.6207,0.0
514,1310.0,1.0,2.0,3.0,2835.0,4.06,8.952,5841.0,1.05,1.11,57.6207,0.0
515,1313.0,1.0,1.0,1.0,133.60001,0.54,9.765770000000002,4835.0,11.02,0.67,182.192,0.0
516,1314.0,1.0,1.0,1.0,960.41,1.837,7.320529999999995,5638.0,0.98,0.9,37.6506,0.0
517,1317.0,1.0,1.0,2.0,262.70862,0.84,8.819670000000004,5645.0,1.2,1.2,37.8478,0.0
518,1323.0,1.0,1.0,2.0,1708.0,2.8145,8.179539999999998,5748.0,1.11,1.02,37.8478,0.0
519,1327.0,1.0,3.0,1.0,1244.0,2.37,10.907739999999997,5568.0,1.32,1.26,73.0961,0.0
520,1329.0,1.0,1.0,2.0,453.019,1.084,6.49926,5059.2011999999995,0.76,0.83,16.3292,0.0
